Table name,State,District,Area Name,Last residence,Last residence,Place of enumeration,Total migrants,Total migrants (M),Total migrants (F),Less than 1 year,Less than 1 year(M),Less than 1 year(F),1-4 years,1-4 years(M),1-4 years(F),5-9 years,5-9 years(M),5-9 years(F),10-19 years,10-19 years(M),10-19 years(F),20+ years,20+ years(M),20+ years(F),Duration not stated,Duration not stated(M),Duration not stated(F)
,,,,,Total/Rural/Urban/Country,Total/Rural/Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Rural,Total,"20,44,552","11,31,025","9,13,527","69,881","38,240","31,641","2,84,464","1,47,101","1,37,363","3,33,668","1,76,986","1,56,682","6,00,153","3,28,473","2,71,680","6,93,993","4,06,901","2,87,092","62,393","33,324","29,069"
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Rural,Rural,"38,351","18,887","19,464","2,162","1,197",965,"7,466","3,762","3,704","7,854","3,937","3,917","11,473","5,774","5,699","8,439","3,737","4,702",957,480,477
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Rural,Urban,"20,06,201","11,12,138","8,94,063","67,719","37,043","30,676","2,76,998","1,43,339","1,33,659","3,25,814","1,73,049","1,52,765","5,88,680","3,22,699","2,65,981","6,85,554","4,03,164","2,82,390","61,436","32,844","28,592"
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Urban,Total,"7,67,008","3,63,298","4,03,710","28,517","13,628","14,889","1,21,403","54,887","66,516","1,21,725","56,585","65,140","1,88,450","87,744","1,00,706","2,75,070","1,35,663","1,39,407","31,843","14,791","17,052"
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Urban,Rural,"7,774","3,669","4,105",411,203,208,"2,234","1,100","1,134","1,616",757,859,"1,864",851,"1,013","1,295",570,725,354,188,166
D0302,7,0,State - NCT OF DELHI,Uttar Pradesh,Urban,Urban,"7,59,234","3,59,629","3,99,605","28,106","13,425","14,681","1,19,169","53,787","65,382","1,20,109","55,828","64,281","1,86,586","86,893","99,693","2,73,775","1,35,093","1,38,682","31,489","14,603","16,886"
D0302,7,0,State - NCT OF DELHI,Bihar,Total,Total,"11,06,629","6,63,236","4,43,393","54,234","33,034","21,200","2,22,477","1,29,162","93,315","2,45,034","1,43,109","1,01,925","3,50,051","2,10,031","1,40,020","1,93,556","1,23,960","69,596","41,277","23,940","17,337"
D0302,7,0,State - NCT OF DELHI,Bihar,Total,Rural,"27,448","15,895","11,553","1,960","1,195",765,"6,555","3,774","2,781","6,450","3,647","2,803","7,883","4,499","3,384","3,115","1,919","1,196","1,485",861,624
D0302,7,0,State - NCT OF DELHI,Bihar,Total,Urban,"10,79,181","6,47,341","4,31,840","52,274","31,839","20,435","2,15,922","1,25,388","90,534","2,38,584","1,39,462","99,122","3,42,168","2,05,532","1,36,636","1,90,441","1,22,041","68,400","39,792","23,079","16,713"
D0302,7,0,State - NCT OF DELHI,Bihar,Rural,Total,"9,14,205","5,54,462","3,59,743","44,220","27,374","16,846","1,79,526","1,05,436","74,090","2,02,098","1,19,191","82,907","2,98,540","1,80,623","1,17,917","1,63,147","1,06,240","56,907","26,674","15,598","11,076"
D0302,7,0,State - NCT OF DELHI,Bihar,Rural,Rural,"22,857","13,438","9,419","1,687","1,046",641,"5,432","3,176","2,256","5,417","3,117","2,300","6,917","3,964","2,953","2,809","1,760","1,049",595,375,220
D0302,7,0,State - NCT OF DELHI,Bihar,Rural,Urban,"8,91,348","5,41,024","3,50,324","42,533","26,328","16,205","1,74,094","1,02,260","71,834","1,96,681","1,16,074","80,607","2,91,623","1,76,659","1,14,964","1,60,338","1,04,480","55,858","26,079","15,223","10,856"
D0302,7,0,State - NCT OF DELHI,Bihar,Urban,Total,"1,76,689","99,550","77,139","9,286","5,219","4,067","40,637","22,376","18,261","40,865","22,737","18,128","49,197","28,071","21,126","29,122","16,976","12,146","7,582","4,171","3,411"
D0302,7,0,State - NCT OF DELHI,Bihar,Urban,Rural,"3,291","1,754","1,537",213,111,102,951,504,447,858,432,426,835,465,370,270,143,127,164,99,65
D0302,7,0,State - NCT OF DELHI,Bihar,Urban,Urban,"1,73,398","97,796","75,602","9,073","5,108","3,965","39,686","21,872","17,814","40,007","22,305","17,702","48,362","27,606","20,756","28,852","16,833","12,019","7,418","4,072","3,346"
D0302,7,0,State - NCT OF DELHI,Sikkim,Total,Total,995,508,487,92,52,40,289,144,145,203,101,102,180,82,98,182,102,80,49,27,22
D0302,7,0,State - NCT OF DELHI,Sikkim,Total,Rural,9,3,6,0,0,0,5,2,3,3,1,2,1,0,1,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,Sikkim,Total,Urban,986,505,481,92,52,40,284,142,142,200,100,100,179,82,97,182,102,80,49,27,22
D0302,7,0,State - NCT OF DELHI,Sikkim,Rural,Total,246,127,119,30,16,14,72,31,41,47,24,23,41,20,21,38,26,12,18,10,8
D0302,7,0,State - NCT OF DELHI,Sikkim,Rural,Rural,3,1,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,Sikkim,Rural,Urban,243,126,117,30,16,14,72,31,41,44,23,21,41,20,21,38,26,12,18,10,8
D0302,7,0,State - NCT OF DELHI,Sikkim,Urban,Total,731,370,361,61,36,25,215,111,104,151,74,77,138,61,77,141,75,66,25,13,12
D0302,7,0,State - NCT OF DELHI,Sikkim,Urban,Rural,6,2,4,0,0,0,5,2,3,0,0,0,1,0,1,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,Sikkim,Urban,Urban,725,368,357,61,36,25,210,109,101,151,74,77,137,61,76,141,75,66,25,13,12
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Total,Total,"1,404",753,651,149,77,72,510,288,222,287,138,149,235,118,117,174,102,72,49,30,19
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Total,Rural,11,4,7,2,1,1,4,1,3,4,2,2,0,0,0,1,0,1,0,0,0
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Total,Urban,"1,393",749,644,147,76,71,506,287,219,283,136,147,235,118,117,173,102,71,49,30,19
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Rural,Total,386,217,169,31,18,13,168,97,71,76,41,35,44,18,26,54,33,21,13,10,3
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Rural,Rural,9,3,6,0,0,0,4,1,3,4,2,2,0,0,0,1,0,1,0,0,0
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Rural,Urban,377,214,163,31,18,13,164,96,68,72,39,33,44,18,26,53,33,20,13,10,3
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Urban,Total,995,521,474,115,58,57,336,186,150,211,97,114,189,99,90,120,69,51,24,12,12
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Urban,Rural,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0302,7,0,State - NCT OF DELHI,Arunachal Pradesh,Urban,Urban,993,520,473,113,57,56,336,186,150,211,97,114,189,99,90,120,69,51,24,12,12
D0302,7,0,State - NCT OF DELHI,Nagaland,Total,Total,"1,921","1,027",894,203,130,73,674,346,328,383,184,199,344,184,160,221,130,91,96,53,43
